"","TPR","TDR","FPR","ACC","SHD","runtime"
"mpc50_2_1000_4_0.05.csv",0.9375,0.9,0.00424808836023789,0.993469387755102,12,0.365000000000691
"mpc50_2_1000_5_0.05.csv",0.953488372093023,0.911111111111111,0.00338409475465313,0.995102040816327,9,0.243000000000393
"mpc50_2_1000_6_0.05.csv",0.911111111111111,0.911111111111111,0.00338983050847458,0.993469387755102,10,0.264999999999418
"mpc50_2_1000_7_0.05.csv",0.763636363636364,0.933333333333333,0.00256410256410256,0.986938775510204,17,0.288000000000466
"mpc50_2_1000_8_0.05.csv",0.923076923076923,1,0,0.996734693877551,5,0.34099999999944
"mpc50_2_1000_9_0.05.csv",0.880952380952381,0.902439024390244,0.00338123415046492,0.99265306122449,15,0.264000000000124
"mpc50_2_1000_10_0.05.csv",0.974358974358974,0.904761904761905,0.00337268128161889,0.995918367346939,8,0.243000000000393
"mpc50_2_1000_11_0.05.csv",0.958333333333333,0.851851851851852,0.00679694137638063,0.991836734693878,13,0.529000000000451
"mpc50_2_1000_12_0.05.csv",0.714285714285714,0.8,0.00855431993156544,0.978775510204082,36,0.72400000000016
"mpc50_2_1000_13_0.05.csv",0.896551724137931,0.962962962962963,0.00171379605826907,0.993469387755102,15,0.505000000000109
"mpc50_2_1000_14_0.05.csv",0.811320754716981,0.895833333333333,0.00426621160409556,0.987755102040816,19,0.210000000000036
"mpc50_2_1000_15_0.05.csv",0.959183673469388,0.903846153846154,0.00425170068027211,0.994285714285714,9,0.212000000000444
"mpc50_2_1000_16_0.05.csv",0.938775510204082,0.958333333333333,0.00170068027210884,0.995918367346939,7,0.19800000000032
"mpc50_2_1000_17_0.05.csv",0.979591836734694,0.923076923076923,0.00340136054421769,0.995918367346939,6,0.300999999999476
"mpc50_2_1000_18_0.05.csv",0.886792452830189,0.903846153846154,0.00426621160409556,0.991020408163265,14,0.378000000000611
"mpc50_2_1000_19_0.05.csv",0.941176470588235,0.923076923076923,0.00340715502555366,0.994285714285714,9,0.224999999999454
"mpc50_2_1000_20_0.05.csv",0.914893617021277,0.934782608695652,0.00254668930390492,0.994285714285714,9,0.213999999999942
"mpc50_2_1000_21_0.05.csv",0.930232558139535,0.888888888888889,0.00423011844331641,0.993469387755102,9,0.260000000000218
"mpc50_2_1000_22_0.05.csv",0.88,0.936170212765957,0.0025531914893617,0.99265306122449,14,0.248999999999796
"mpc50_2_1000_23_0.05.csv",0.977777777777778,0.977777777777778,0.000847457627118644,0.998367346938775,3,0.210000000000036
"mpc50_2_1000_24_0.05.csv",0.954545454545455,0.792452830188679,0.00931414055884843,0.989387755102041,15,0.246000000000095
"mpc50_2_1000_25_0.05.csv",0.928571428571429,0.928571428571429,0.00253592561284869,0.995102040816327,6,0.253000000000611
"mpc50_2_1000_26_0.05.csv",0.822222222222222,0.902439024390244,0.00338983050847458,0.990204081632653,15,0.203000000000429
"mpc50_2_1000_27_0.05.csv",0.955555555555556,0.796296296296296,0.00932203389830509,0.989387755102041,14,0.382000000000517
"mpc50_2_1000_28_0.05.csv",0.892857142857143,0.909090909090909,0.00427715996578272,0.991020408163265,12,0.510999999999513
"mpc50_2_1000_29_0.05.csv",0.890909090909091,0.942307692307692,0.00256410256410256,0.99265306122449,11,0.530000000000655
"mpc50_2_1000_30_0.05.csv",0.824561403508772,0.903846153846154,0.00428082191780822,0.987755102040816,21,0.444000000000415
"mpc50_2_1000_1_0.01.csv",0.836363636363636,0.958333333333333,0.00170940170940171,0.991020408163265,14,0.40900000000056
"mpc50_2_1000_2_0.01.csv",0.970588235294118,0.942857142857143,0.00167926112510495,0.997551020408163,4,0.266000000000531
"mpc50_2_1000_3_0.01.csv",0.842105263157895,0.979591836734694,0.000856164383561644,0.991836734693878,18,0.523000000000138
"mpc50_2_1000_4_0.01.csv",0.9375,0.978260869565217,0.000849617672047579,0.996734693877551,10,0.331000000000131
"mpc50_2_1000_5_0.01.csv",0.930232558139535,1,0,0.997551020408163,8,0.175000000000182
"mpc50_2_1000_6_0.01.csv",0.911111111111111,0.976190476190476,0.000847457627118644,0.995918367346939,6,0.380999999999403
"mpc50_2_1000_7_0.01.csv",0.727272727272727,0.952380952380952,0.00170940170940171,0.986122448979592,19,0.131999999999607
"mpc50_2_1000_8_0.01.csv",0.903846153846154,1,0,0.995918367346939,6,0.17200000000048
"mpc50_2_1000_9_0.01.csv",0.833333333333333,1,0,0.994285714285714,12,0.0969999999997526
"mpc50_2_1000_10_0.01.csv",0.871794871794872,1,0,0.995918367346939,10,0.119000000000597
"mpc50_2_1000_11_0.01.csv",0.9375,0.978260869565217,0.000849617672047579,0.996734693877551,4,0.216999999999643
"mpc50_2_1000_12_0.01.csv",0.678571428571429,0.826086956521739,0.00684345594525235,0.978775510204082,35,0.371000000000095
"mpc50_2_1000_13_0.01.csv",0.879310344827586,0.980769230769231,0.000856898029134533,0.993469387755102,15,0.38799999999992
"mpc50_2_1000_14_0.01.csv",0.811320754716981,0.955555555555556,0.00170648464163823,0.990204081632653,16,0.206000000000131
"mpc50_2_1000_15_0.01.csv",0.959183673469388,1,0,0.998367346938775,4,0.208999999999833
"mpc50_2_1000_16_0.01.csv",0.918367346938776,1,0,0.996734693877551,6,0.206000000000131
"mpc50_2_1000_17_0.01.csv",0.918367346938776,1,0,0.996734693877551,5,0.275000000000546
"mpc50_2_1000_18_0.01.csv",0.830188679245283,0.936170212765957,0.00255972696245734,0.990204081632653,15,0.39600000000064
"mpc50_2_1000_19_0.01.csv",0.941176470588235,1,0,0.997551020408163,4,0.162999999999556
"mpc50_2_1000_20_0.01.csv",0.872340425531915,0.976190476190476,0.000848896434634975,0.994285714285714,8,0.143999999999323
"mpc50_2_1000_21_0.01.csv",0.930232558139535,1,0,0.997551020408163,3,0.16399999999976
"mpc50_2_1000_22_0.01.csv",0.86,0.914893617021277,0.00340425531914894,0.991020408163265,16,0.212999999999738
"mpc50_2_1000_23_0.01.csv",0.977777777777778,1,0,0.999183673469388,1,0.144999999999527
"mpc50_2_1000_24_0.01.csv",0.954545454545455,0.976744186046512,0.000846740050804403,0.997551020408163,5,0.197000000000116
"mpc50_2_1000_25_0.01.csv",0.928571428571429,0.975,0.00084530853761623,0.996734693877551,4,0.189000000000306
"mpc50_2_1000_26_0.01.csv",0.8,0.972972972972973,0.000847457627118644,0.991836734693878,13,0.147999999999229
